#   t [s]                T [GK]               rho [g/cm^3]         r [km]      Ye = 0.41 at T = 10 GK
#----------------------------------------------------------------------------------------------------
   9.88365379E-02       9.43114126E+00       3.24046900E+06       3.39357910E+01    0.41
   9.88460296E-02       9.42642725E+00       3.23546633E+06       3.39511462E+01    0.41
   9.88555204E-02       9.42171558E+00       3.23047152E+06       3.39665099E+01    0.41
   9.88650105E-02       9.41700628E+00       3.22548458E+06       3.39818821E+01    0.41
   9.88744997E-02       9.41229933E+00       3.22050548E+06       3.39972628E+01    0.41
   9.88839881E-02       9.40759474E+00       3.21553421E+06       3.40126520E+01    0.41
   9.88934756E-02       9.40289250E+00       3.21057076E+06       3.40280497E+01    0.41
   9.89029623E-02       9.39819260E+00       3.20561513E+06       3.40434559E+01    0.41
   9.89124482E-02       9.39349505E+00       3.20066728E+06       3.40588706E+01    0.41
   9.89219333E-02       9.38879986E+00       3.19572722E+06       3.40742938E+01    0.41
   9.89314175E-02       9.38410701E+00       3.19079493E+06       3.40897255E+01    0.41
   9.89409009E-02       9.37941650E+00       3.18587040E+06       3.41051658E+01    0.41
   9.89503835E-02       9.37472834E+00       3.18095361E+06       3.41206146E+01    0.41
   9.89598653E-02       9.37004252E+00       3.17604455E+06       3.41360719E+01    0.41
   9.89693462E-02       9.36535905E+00       3.17114322E+06       3.41515377E+01    0.41
   9.89788263E-02       9.36067792E+00       3.16624959E+06       3.41670121E+01    0.41
   9.89883057E-02       9.35599912E+00       3.16136365E+06       3.41824951E+01    0.41
   9.89977842E-02       9.35132267E+00       3.15648540E+06       3.41979865E+01    0.41
   9.90072618E-02       9.34664855E+00       3.15161481E+06       3.42134866E+01    0.41
   9.90167387E-02       9.34197677E+00       3.14675189E+06       3.42289952E+01    0.41
   9.90262148E-02       9.33730733E+00       3.14189661E+06       3.42445124E+01    0.41
   9.90356900E-02       9.33264021E+00       3.13704896E+06       3.42600381E+01    0.41
   9.90451645E-02       9.32797543E+00       3.13220893E+06       3.42755724E+01    0.41
   9.90546381E-02       9.32331298E+00       3.12737651E+06       3.42911153E+01    0.41
   9.90641109E-02       9.31865287E+00       3.12255168E+06       3.43066668E+01    0.41
   9.90735830E-02       9.31399507E+00       3.11773444E+06       3.43222269E+01    0.41
   9.90830542E-02       9.30933961E+00       3.11292477E+06       3.43377955E+01    0.41
   9.90925246E-02       9.30468648E+00       3.10812265E+06       3.43533728E+01    0.41
   9.91019942E-02       9.30003568E+00       3.10332809E+06       3.43689586E+01    0.41
   9.91114630E-02       9.29538719E+00       3.09854105E+06       3.43845531E+01    0.41
   9.91209311E-02       9.29074104E+00       3.09376154E+06       3.44001562E+01    0.41
   9.91303983E-02       9.28609719E+00       3.08898954E+06       3.44157679E+01    0.41
   9.91398647E-02       9.28145568E+00       3.08422504E+06       3.44313882E+01    0.41
   9.91493304E-02       9.27681649E+00       3.07946802E+06       3.44470172E+01    0.41
   9.91587952E-02       9.27217961E+00       3.07471847E+06       3.44626548E+01    0.41
   9.91682593E-02       9.26754505E+00       3.06997639E+06       3.44783010E+01    0.41
   9.91777226E-02       9.26291281E+00       3.06524175E+06       3.44939559E+01    0.41
   9.91871850E-02       9.25828288E+00       3.06051456E+06       3.45096194E+01    0.41
   9.91966467E-02       9.25365527E+00       3.05579478E+06       3.45252916E+01    0.41
   9.92061077E-02       9.24902997E+00       3.05108242E+06       3.45409724E+01    0.41
   9.92155678E-02       9.24440698E+00       3.04637747E+06       3.45566619E+01    0.41
   9.92250271E-02       9.23978631E+00       3.04167990E+06       3.45723601E+01    0.41
   9.92344857E-02       9.23516793E+00       3.03698970E+06       3.45880669E+01    0.41
   9.92439435E-02       9.23055187E+00       3.03230688E+06       3.46037824E+01    0.41
   9.92534005E-02       9.22593812E+00       3.02763140E+06       3.46195066E+01    0.41
   9.92628567E-02       9.22132667E+00       3.02296327E+06       3.46352395E+01    0.41
   9.92723122E-02       9.21671754E+00       3.01830246E+06       3.46509810E+01    0.41
   9.92817669E-02       9.21211070E+00       3.01364898E+06       3.46667313E+01    0.41
   9.92912208E-02       9.20750616E+00       3.00900280E+06       3.46824903E+01    0.41
   9.93006739E-02       9.20290393E+00       3.00436391E+06       3.46982579E+01    0.41
   9.93101263E-02       9.19830400E+00       2.99973231E+06       3.47140343E+01    0.41
   9.93195779E-02       9.19370636E+00       2.99510798E+06       3.47298194E+01    0.41
   9.93290287E-02       9.18911102E+00       2.99049090E+06       3.47456132E+01    0.41
   9.93384788E-02       9.18451798E+00       2.98588107E+06       3.47614158E+01    0.41
   9.93479281E-02       9.17992724E+00       2.98127848E+06       3.47772271E+01    0.41
   9.93573767E-02       9.17533880E+00       2.97668311E+06       3.47930471E+01    0.41
   9.93668244E-02       9.17075264E+00       2.97209495E+06       3.48088758E+01    0.41
   9.93762715E-02       9.16616878E+00       2.96751400E+06       3.48247133E+01    0.41
   9.93857177E-02       9.16158721E+00       2.96294023E+06       3.48405596E+01    0.41
   9.93951632E-02       9.15700793E+00       2.95837364E+06       3.48564146E+01    0.41
   9.94046080E-02       9.15243093E+00       2.95381421E+06       3.48722783E+01    0.41
   9.94140520E-02       9.14785623E+00       2.94926194E+06       3.48881509E+01    0.41
   9.94234952E-02       9.14328381E+00       2.94471681E+06       3.49040322E+01    0.41
   9.94329377E-02       9.13871368E+00       2.94017881E+06       3.49199222E+01    0.41
   9.94423795E-02       9.13414583E+00       2.93564793E+06       3.49358211E+01    0.41
   9.94518204E-02       9.12958027E+00       2.93112416E+06       3.49517287E+01    0.41
   9.94612607E-02       9.12501699E+00       2.92660748E+06       3.49676452E+01    0.41
   9.94707002E-02       9.12045599E+00       2.92209789E+06       3.49835704E+01    0.41
   9.94801389E-02       9.11589726E+00       2.91759537E+06       3.49995044E+01    0.41
   9.94895769E-02       9.11134081E+00       2.91309991E+06       3.50154472E+01    0.41
   9.94990142E-02       9.10678664E+00       2.90861151E+06       3.50313989E+01    0.41
   9.95084507E-02       9.10223475E+00       2.90413014E+06       3.50473593E+01    0.41
   9.95178865E-02       9.09768514E+00       2.89965580E+06       3.50633286E+01    0.41
   9.95273216E-02       9.09313781E+00       2.89518848E+06       3.50793067E+01    0.41
   9.95367559E-02       9.08859273E+00       2.89072816E+06       3.50952936E+01    0.41
   9.95461895E-02       9.08404994E+00       2.88627484E+06       3.51112894E+01    0.41
   9.95556223E-02       9.07950941E+00       2.88182849E+06       3.51272940E+01    0.41
   9.95650544E-02       9.07497115E+00       2.87738912E+06       3.51433074E+01    0.41
   9.95744858E-02       9.07043517E+00       2.87295671E+06       3.51593297E+01    0.41
   9.95839164E-02       9.06590146E+00       2.86853125E+06       3.51753609E+01    0.41
   9.95933463E-02       9.06137000E+00       2.86411273E+06       3.51914009E+01    0.41
   9.96027755E-02       9.05684081E+00       2.85970113E+06       3.52074498E+01    0.41
   9.96122040E-02       9.05231388E+00       2.85529645E+06       3.52235075E+01    0.41
   9.96216317E-02       9.04778921E+00       2.85089867E+06       3.52395741E+01    0.41
   9.96310587E-02       9.04326682E+00       2.84650778E+06       3.52556496E+01    0.41
   9.96404850E-02       9.03874668E+00       2.84212378E+06       3.52717340E+01    0.41
   9.96499106E-02       9.03422879E+00       2.83774665E+06       3.52878273E+01    0.41
   9.96593354E-02       9.02971318E+00       2.83337637E+06       3.53039295E+01    0.41
   9.96687596E-02       9.02519980E+00       2.82901295E+06       3.53200405E+01    0.41
   9.96781830E-02       9.02068870E+00       2.82465636E+06       3.53361605E+01    0.41
   9.96876057E-02       9.01617984E+00       2.82030660E+06       3.53522894E+01    0.41
   9.96970277E-02       9.01167324E+00       2.81596366E+06       3.53684272E+01    0.41
   9.97064490E-02       9.00716890E+00       2.81162751E+06       3.53845739E+01    0.41
   9.97158695E-02       9.00266679E+00       2.80729817E+06       3.54007296E+01    0.41
   9.97252894E-02       8.99816695E+00       2.80297560E+06       3.54168941E+01    0.41
   9.97347085E-02       8.99366935E+00       2.79865981E+06       3.54330676E+01    0.41
   9.97441270E-02       8.98917400E+00       2.79435078E+06       3.54492501E+01    0.41
   9.97535447E-02       8.98468090E+00       2.79004849E+06       3.54654415E+01    0.41
   9.97629617E-02       8.98019004E+00       2.78575295E+06       3.54816418E+01    0.41
   9.97723780E-02       8.97570143E+00       2.78146414E+06       3.54978511E+01    0.41
   9.97817936E-02       8.97121505E+00       2.77718204E+06       3.55140694E+01    0.41
   9.97912086E-02       8.96673093E+00       2.77290665E+06       3.55302966E+01    0.41
   9.98006228E-02       8.96224904E+00       2.76863795E+06       3.55465328E+01    0.41
   9.98100363E-02       8.95776940E+00       2.76437594E+06       3.55627780E+01    0.41
   9.98194491E-02       8.95329200E+00       2.76012060E+06       3.55790321E+01    0.41
   9.98288613E-02       8.94881683E+00       2.75587193E+06       3.55952953E+01    0.41
   9.98382727E-02       8.94434389E+00       2.75162991E+06       3.56115674E+01    0.41
   9.98476834E-02       8.93987320E+00       2.74739453E+06       3.56278485E+01    0.41
   9.98570935E-02       8.93540474E+00       2.74316578E+06       3.56441386E+01    0.41
   9.98665028E-02       8.93093851E+00       2.73894365E+06       3.56604378E+01    0.41
   9.98759115E-02       8.92647452E+00       2.73472814E+06       3.56767459E+01    0.41
   9.98853195E-02       8.92201275E+00       2.73051922E+06       3.56930631E+01    0.41
   9.98947268E-02       8.91755322E+00       2.72631689E+06       3.57093893E+01    0.41
   9.99041334E-02       8.91309592E+00       2.72212114E+06       3.57257245E+01    0.41
   9.99135393E-02       8.90864084E+00       2.71793196E+06       3.57420687E+01    0.41
   9.99229446E-02       8.90418799E+00       2.71374933E+06       3.57584220E+01    0.41
   9.99323491E-02       8.89973737E+00       2.70957325E+06       3.57747843E+01    0.41
   9.99417530E-02       8.89528897E+00       2.70540371E+06       3.57911557E+01    0.41
   9.99511562E-02       8.89084279E+00       2.70124069E+06       3.58075361E+01    0.41
   9.99605588E-02       8.88639884E+00       2.69708418E+06       3.58239255E+01    0.41
   9.99699606E-02       8.88195710E+00       2.69293418E+06       3.58403241E+01    0.41
   9.99793618E-02       8.87751759E+00       2.68879068E+06       3.58567317E+01    0.41
   9.99887623E-02       8.87308030E+00       2.68465365E+06       3.58731484E+01    0.41
   9.99981622E-02       8.86864522E+00       2.68052310E+06       3.58895741E+01    0.41
   1.00007561E-01       8.86421236E+00       2.67639902E+06       3.59060089E+01    0.41
   1.00016960E-01       8.85978173E+00       2.67228138E+06       3.59224529E+01    0.41
   1.00026358E-01       8.85535330E+00       2.66817019E+06       3.59389059E+01    0.41
   1.00035755E-01       8.85092708E+00       2.66406543E+06       3.59553680E+01    0.41
