# time[s], T9[GK], density[g/cm^3], R[km], Ye

3.1797e-03 6.3820e+00 5.2087e+07 5.6503e+02 0.18825
3.2085e-03 6.3739e+00 5.1889e+07 5.6575e+02 0.18825
3.2372e-03 6.3659e+00 5.1693e+07 5.6647e+02 0.18825
3.2657e-03 6.3579e+00 5.1498e+07 5.6718e+02 0.18825
3.2942e-03 6.3499e+00 5.1305e+07 5.6789e+02 0.18825
3.3227e-03 6.3420e+00 5.1113e+07 5.6860e+02 0.18825
3.3510e-03 6.3341e+00 5.0923e+07 5.6931e+02 0.18825
3.3793e-03 6.3262e+00 5.0734e+07 5.7001e+02 0.18825
3.4075e-03 6.3184e+00 5.0546e+07 5.7072e+02 0.18825
3.4357e-03 6.3107e+00 5.0360e+07 5.7142e+02 0.18825
3.4638e-03 6.3029e+00 5.0175e+07 5.7212e+02 0.18825
3.4918e-03 6.2953e+00 4.9992e+07 5.7282e+02 0.18825
3.5197e-03 6.2876e+00 4.9810e+07 5.7352e+02 0.18825
3.5476e-03 6.2800e+00 4.9629e+07 5.7421e+02 0.18825
3.5754e-03 6.2724e+00 4.9450e+07 5.7490e+02 0.18825
3.6031e-03 6.2649e+00 4.9272e+07 5.7560e+02 0.18826
3.6313e-03 6.2572e+00 4.9092e+07 5.7630e+02 0.18826
3.6593e-03 6.2496e+00 4.8913e+07 5.7700e+02 0.18826
3.6873e-03 6.2421e+00 4.8736e+07 5.7770e+02 0.18826
3.7152e-03 6.2346e+00 4.8560e+07 5.7839e+02 0.18826
3.7431e-03 6.2271e+00 4.8385e+07 5.7909e+02 0.18826
3.7709e-03 6.2196e+00 4.8212e+07 5.7978e+02 0.18826
3.7987e-03 6.2122e+00 4.8040e+07 5.8048e+02 0.18826
3.8263e-03 6.2048e+00 4.7869e+07 5.8117e+02 0.18826
3.8540e-03 6.1975e+00 4.7699e+07 5.8186e+02 0.18826
3.8815e-03 6.1902e+00 4.7530e+07 5.8254e+02 0.18826
3.9090e-03 6.1829e+00 4.7362e+07 5.8323e+02 0.18826
3.9365e-03 6.1756e+00 4.7196e+07 5.8391e+02 0.18826
3.9639e-03 6.1684e+00 4.7030e+07 5.8460e+02 0.18826
3.9951e-03 6.1602e+00 4.6843e+07 5.8538e+02 0.18826
4.0261e-03 6.1521e+00 4.6658e+07 5.8615e+02 0.18826
4.0569e-03 6.1440e+00 4.6475e+07 5.8692e+02 0.18826
4.0877e-03 6.1360e+00 4.6293e+07 5.8769e+02 0.18826
4.1184e-03 6.1280e+00 4.6112e+07 5.8845e+02 0.18826
4.1490e-03 6.1200e+00 4.5933e+07 5.8922e+02 0.18826
4.1796e-03 6.1121e+00 4.5755e+07 5.8998e+02 0.18826
4.2101e-03 6.1043e+00 4.5579e+07 5.9074e+02 0.18826
4.2405e-03 6.0964e+00 4.5404e+07 5.9150e+02 0.18826
4.2708e-03 6.0887e+00 4.5230e+07 5.9226e+02 0.18827
4.3011e-03 6.0809e+00 4.5057e+07 5.9301e+02 0.18827
4.3334e-03 6.0726e+00 4.4874e+07 5.9382e+02 0.18827
4.3657e-03 6.0644e+00 4.4692e+07 5.9462e+02 0.18827
4.3978e-03 6.0562e+00 4.4511e+07 5.9542e+02 0.18827
4.4299e-03 6.0481e+00 4.4332e+07 5.9623e+02 0.18827
4.4619e-03 6.0400e+00 4.4155e+07 5.9702e+02 0.18827
4.4938e-03 6.0320e+00 4.3978e+07 5.9782e+02 0.18827
4.5257e-03 6.0240e+00 4.3803e+07 5.9862e+02 0.18827
4.5576e-03 6.0160e+00 4.3629e+07 5.9941e+02 0.18827
4.5893e-03 6.0080e+00 4.3457e+07 6.0020e+02 0.18827
4.6211e-03 6.0001e+00 4.3285e+07 6.0100e+02 0.18827
4.6527e-03 5.9922e+00 4.3115e+07 6.0179e+02 0.18827
4.6842e-03 5.9844e+00 4.2947e+07 6.0257e+02 0.18827
4.7156e-03 5.9767e+00 4.2780e+07 6.0335e+02 0.18827
4.7469e-03 5.9689e+00 4.2614e+07 6.0413e+02 0.18827
4.7782e-03 5.9612e+00 4.2449e+07 6.0492e+02 0.18827
4.8095e-03 5.9536e+00 4.2285e+07 6.0570e+02 0.18827
4.8407e-03 5.9459e+00 4.2122e+07 6.0647e+02 0.18827
4.8719e-03 5.9383e+00 4.1961e+07 6.0725e+02 0.18828
4.9030e-03 5.9307e+00 4.1800e+07 6.0803e+02 0.18828
4.9341e-03 5.9231e+00 4.1640e+07 6.0881e+02 0.18828
4.9652e-03 5.9156e+00 4.1482e+07 6.0958e+02 0.18828
4.9963e-03 5.9081e+00 4.1324e+07 6.1036e+02 0.18828
5.0280e-03 5.9004e+00 4.1164e+07 6.1115e+02 0.18828
5.0596e-03 5.8928e+00 4.1005e+07 6.1194e+02 0.18828
5.0912e-03 5.8852e+00 4.0846e+07 6.1273e+02 0.18828
5.1228e-03 5.8777e+00 4.0689e+07 6.1351e+02 0.18828
5.1550e-03 5.8700e+00 4.0530e+07 6.1432e+02 0.18828
5.1872e-03 5.8623e+00 4.0371e+07 6.1512e+02 0.18828
5.2195e-03 5.8547e+00 4.0213e+07 6.1593e+02 0.18828
5.2518e-03 5.8470e+00 4.0056e+07 6.1673e+02 0.18828
5.2841e-03 5.8394e+00 3.9899e+07 6.1754e+02 0.18828
5.3165e-03 5.8317e+00 3.9742e+07 6.1835e+02 0.18828
5.3507e-03 5.8237e+00 3.9579e+07 6.1920e+02 0.18828
5.3847e-03 5.8157e+00 3.9416e+07 6.2005e+02 0.18828
5.4186e-03 5.8078e+00 3.9255e+07 6.2090e+02 0.18829
5.4526e-03 5.7999e+00 3.9095e+07 6.2174e+02 0.18829
5.4864e-03 5.7920e+00 3.8936e+07 6.2259e+02 0.18829
5.5210e-03 5.7840e+00 3.8775e+07 6.2345e+02 0.18829
5.5554e-03 5.7761e+00 3.8615e+07 6.2431e+02 0.18829
5.5896e-03 5.7682e+00 3.8457e+07 6.2516e+02 0.18829
5.6236e-03 5.7604e+00 3.8301e+07 6.2601e+02 0.18829
5.6575e-03 5.7526e+00 3.8146e+07 6.2686e+02 0.18829
5.6912e-03 5.7449e+00 3.7993e+07 6.2770e+02 0.18829
5.7267e-03 5.7368e+00 3.7832e+07 6.2858e+02 0.18829
5.7620e-03 5.7288e+00 3.7674e+07 6.2946e+02 0.18829
5.7971e-03 5.7208e+00 3.7517e+07 6.3034e+02 0.18829
5.8320e-03 5.7129e+00 3.7362e+07 6.3121e+02 0.18829
5.8667e-03 5.7051e+00 3.7209e+07 6.3207e+02 0.18829
5.9012e-03 5.6973e+00 3.7057e+07 6.3294e+02 0.18829
5.9356e-03 5.6896e+00 3.6907e+07 6.3379e+02 0.18829
5.9698e-03 5.6820e+00 3.6758e+07 6.3465e+02 0.18829
6.0038e-03 5.6744e+00 3.6611e+07 6.3550e+02 0.18829
6.0396e-03 5.6664e+00 3.6457e+07 6.3639e+02 0.18830
6.0752e-03 5.6585e+00 3.6305e+07 6.3728e+02 0.18830
6.1105e-03 5.6507e+00 3.6155e+07 6.3816e+02 0.18830
6.1457e-03 5.6429e+00 3.6006e+07 6.3903e+02 0.18830
6.1806e-03 5.6353e+00 3.5859e+07 6.3991e+02 0.18830
6.2154e-03 5.6276e+00 3.5714e+07 6.4077e+02 0.18830
