# time[s], T9[GK], density[g/cm^3], R[km], Ye, Le[erg/s], Lebar[erg/s], Te[MeV], Tebar[Mev]
# Nr: 138193
4.820000e-01 2.582905e+00 8.388661e+05 5.549946e+03 4.980000e-01  5.9864e+52  5.2238e+52  3.7060e+00  4.8008e+00
4.840000e-01 2.583396e+00 8.394095e+05 5.548532e+03 4.980000e-01  5.9785e+52  5.5287e+52  3.7253e+00  4.8460e+00
4.860000e-01 2.583890e+00 8.399557e+05 5.547120e+03 4.980000e-01  6.1648e+52  5.6307e+52  3.7529e+00  4.8663e+00
4.880000e-01 2.584386e+00 8.405049e+05 5.545710e+03 4.980000e-01  6.3414e+52  5.7431e+52  3.7856e+00  4.9037e+00
4.900000e-01 2.584880e+00 8.410507e+05 5.544301e+03 4.980000e-01  6.2378e+52  5.7840e+52  3.8121e+00  4.9280e+00
4.920000e-01 2.585369e+00 8.415921e+05 5.542894e+03 4.980000e-01  6.0972e+52  5.8353e+52  3.8357e+00  4.9513e+00
4.940000e-01 2.585854e+00 8.421287e+05 5.541489e+03 4.980000e-01  6.0219e+52  5.6381e+52  3.8710e+00  4.9372e+00
4.960000e-01 2.586334e+00 8.426597e+05 5.540086e+03 4.980000e-01  5.7488e+52  5.5730e+52  3.8377e+00  4.9004e+00
4.980000e-01 2.586808e+00 8.431844e+05 5.538684e+03 4.980000e-01  5.6878e+52  5.6648e+52  3.8235e+00  4.8961e+00
5.000000e-01 2.587275e+00 8.437020e+05 5.537284e+03 4.980000e-01  5.9299e+52  5.7170e+52  3.8249e+00  4.9476e+00
5.020000e-01 2.587734e+00 8.442105e+05 5.535886e+03 4.980000e-01  6.1467e+52  5.7258e+52  3.8320e+00  4.9583e+00
5.040000e-01 2.588182e+00 8.447060e+05 5.534489e+03 4.980000e-01  6.1757e+52  5.8469e+52  3.8556e+00  4.9496e+00
5.060000e-01 2.588616e+00 8.451863e+05 5.533094e+03 4.980000e-01  6.4902e+52  6.0925e+52  3.8989e+00  4.9952e+00
5.080000e-01 2.589044e+00 8.456604e+05 5.531700e+03 4.980000e-01  6.2946e+52  5.9058e+52  3.9052e+00  4.9573e+00
5.100000e-01 2.589468e+00 8.461302e+05 5.530307e+03 4.980000e-01  6.6143e+52  6.1779e+52  3.9182e+00  5.0313e+00
