# name   Z   N   A     Y(final)         Y(decay)         Y(seed)      
  fe56  26  30  56   4.24065E-07   4.24065E-07   2.26987E-05
  fe57  26  31  57   3.67899E-08   3.67899E-08   5.24213E-07
  fe58  26  32  58   2.30695E-07   2.30695E-07   6.97631E-08
  fe59  26  33  59   0.00000E+00   0.00000E+00   0.00000E+00
  fe60  26  34  60   5.96048E-10   0.00000E+00   0.00000E+00
  fe61  26  35  61   0.00000E+00   0.00000E+00   0.00000E+00
  fe62  26  36  62   0.00000E+00   0.00000E+00   0.00000E+00
  co52  27  25  52   0.00000E+00   0.00000E+00   0.00000E+00
  co53  27  26  53   0.00000E+00   0.00000E+00   0.00000E+00
  co54  27  27  54   0.00000E+00   0.00000E+00   0.00000E+00
  co55  27  28  55   0.00000E+00   0.00000E+00   0.00000E+00
  co56  27  29  56   0.00000E+00   0.00000E+00   0.00000E+00
  co57  27  30  57   0.00000E+00   0.00000E+00   0.00000E+00
  co58  27  31  58   0.00000E+00   0.00000E+00   0.00000E+00
  co59  27  32  59   7.89752E-08   7.89752E-08   7.64498E-08
  co60  27  33  60   2.28816E-15   0.00000E+00   0.00000E+00
  co61  27  34  61   0.00000E+00   0.00000E+00   0.00000E+00
  co62  27  35  62   0.00000E+00   0.00000E+00   0.00000E+00
  co63  27  36  63   0.00000E+00   0.00000E+00   0.00000E+00
  ni54  28  26  54   0.00000E+00   0.00000E+00   0.00000E+00
  ni55  28  27  55   0.00000E+00   0.00000E+00   0.00000E+00
  ni56  28  28  56   0.00000E+00   0.00000E+00   0.00000E+00
  ni57  28  29  57   0.00000E+00   0.00000E+00   0.00000E+00
  ni58  28  30  58   9.02361E-15   9.02361E-15   8.83845E-07
  ni59  28  31  59   8.79941E-16   0.00000E+00   0.00000E+00
  ni60  28  32  60   1.13122E-07   1.13718E-07   3.40456E-07
  ni61  28  33  61   3.82143E-08   3.82143E-08   1.47994E-08
  ni62  28  34  62   7.65547E-08   7.65547E-08   4.71869E-08
  ni63  28  35  63   6.78049E-18   0.00000E+00   0.00000E+00
  ni64  28  36  64   8.74073E-07   8.74073E-07   1.20171E-08
  ni65  28  37  65   0.00000E+00   0.00000E+00   0.00000E+00
  ni66  28  38  66   0.00000E+00   0.00000E+00   0.00000E+00
  ni67  28  39  67   0.00000E+00   0.00000E+00   0.00000E+00
  cu56  29  27  56   0.00000E+00   0.00000E+00   0.00000E+00
  cu57  29  28  57   0.00000E+00   0.00000E+00   0.00000E+00
  cu58  29  29  58   0.00000E+00   0.00000E+00   0.00000E+00
  cu59  29  30  59   0.00000E+00   0.00000E+00   0.00000E+00
  cu60  29  31  60   0.00000E+00   0.00000E+00   0.00000E+00
  cu61  29  32  61   0.00000E+00   0.00000E+00   0.00000E+00
  cu62  29  33  62   0.00000E+00   0.00000E+00   0.00000E+00
  cu63  29  34  63   6.91174E-08   6.91174E-08   8.38097E-09
  cu64  29  35  64   0.00000E+00   0.00000E+00   0.00000E+00
  cu65  29  36  65   2.64772E-07   2.64772E-07   3.73551E-09
  cu66  29  37  66   0.00000E+00   0.00000E+00   0.00000E+00
  cu67  29  38  67   0.00000E+00   0.00000E+00   0.00000E+00
  cu68  29  39  68   0.00000E+00   0.00000E+00   0.00000E+00
  zn59  30  29  59   0.00000E+00   0.00000E+00   0.00000E+00
  zn60  30  30  60   0.00000E+00   0.00000E+00   0.00000E+00
  zn61  30  31  61   0.00000E+00   0.00000E+00   0.00000E+00
  zn62  30  32  62   0.00000E+00   0.00000E+00   0.00000E+00
  zn63  30  33  63   0.00000E+00   0.00000E+00   0.00000E+00
  zn64  30  34  64   2.71299E-08   2.71299E-08   1.38128E-08
  zn65  30  35  65   0.00000E+00   0.00000E+00   0.00000E+00
  zn66  30  36  66   3.31680E-07   3.31680E-07   7.92466E-09
  zn67  30  37  67   7.19560E-08   7.19560E-08   1.16456E-09
  zn68  30  38  68   3.55396E-07   3.55396E-07   5.32571E-09
  zn69  30  39  69   0.00000E+00   0.00000E+00   0.00000E+00
  zn70  30  40  70   2.96159E-13   2.96159E-13   1.76104E-10
  zn71  30  41  71   0.00000E+00   0.00000E+00   0.00000E+00
  zn72  30  42  72   0.00000E+00   0.00000E+00   0.00000E+00
  ga69  31  38  69   9.45186E-08   9.45186E-08   5.15595E-10
  ga70  31  39  70   0.00000E+00   0.00000E+00   0.00000E+00
  ga71  31  40  71   9.53116E-08   9.53116E-08   3.42186E-10
  ga72  31  41  72   0.00000E+00   0.00000E+00   0.00000E+00
  ga73  31  42  73   0.00000E+00   0.00000E+00   0.00000E+00
  ga74  31  43  74   0.00000E+00   0.00000E+00   0.00000E+00
  ga75  31  44  75   0.00000E+00   0.00000E+00   0.00000E+00
  ge70  32  38  70   1.66036E-07   1.66036E-07   7.28239E-10
  ge71  32  39  71   0.00000E+00   0.00000E+00   0.00000E+00
  ge72  32  40  72   1.93531E-07   1.93531E-07   9.62366E-10
  ge73  32  41  73   4.26884E-08   4.26884E-08   2.70119E-10
  ge74  32  42  74   4.06146E-07   4.06146E-07   1.26778E-09
  ge75  32  43  75   0.00000E+00   0.00000E+00   0.00000E+00
  ge76  32  44  76   7.22757E-13   7.22757E-13   2.65926E-10
  ge77  32  45  77   0.00000E+00   0.00000E+00   0.00000E+00
  ge78  32  46  78   0.00000E+00   0.00000E+00   0.00000E+00
  ge79  32  47  79   0.00000E+00   0.00000E+00   0.00000E+00
  as75  33  42  75   3.90494E-08   3.90494E-08   1.56090E-10
  as76  33  43  76   0.00000E+00   0.00000E+00   0.00000E+00
  as77  33  44  77   0.00000E+00   0.00000E+00   0.00000E+00
  as78  33  45  78   0.00000E+00   0.00000E+00   0.00000E+00
  as79  33  46  79   0.00000E+00   0.00000E+00   0.00000E+00
  as80  33  47  80   0.00000E+00   0.00000E+00   0.00000E+00
  se74  34  40  74   0.00000E+00   0.00000E+00   1.52323E-11
  se75  34  41  75   0.00000E+00   0.00000E+00   0.00000E+00
  se76  34  42  76   1.07301E-07   1.07301E-07   1.60367E-10
  se77  34  43  77   8.30504E-08   8.30504E-08   1.30587E-10
  se78  34  44  78   2.95157E-07   2.95157E-07   4.06823E-10
  se79  34  45  79   3.64333E-08   0.00000E+00   0.00000E+00
  se80  34  46  80   4.25778E-07   4.25778E-07   8.49074E-10
  se81  34  47  81   0.00000E+00   0.00000E+00   0.00000E+00
  se82  34  48  82   1.13918E-12   1.13918E-12   1.49414E-10
  se83  34  49  83   0.00000E+00   0.00000E+00   0.00000E+00
  se84  34  50  84   0.00000E+00   0.00000E+00   0.00000E+00
  br79  35  44  79   2.10955E-08   5.75288E-08   1.37499E-10
  br80  35  45  80   0.00000E+00   0.00000E+00   0.00000E+00
  br81  35  46  81   7.24743E-08   7.65081E-08   1.33755E-10
  br82  35  47  82   0.00000E+00   0.00000E+00   0.00000E+00
  br83  35  48  83   0.00000E+00   0.00000E+00   0.00000E+00
  br84  35  49  84   0.00000E+00   0.00000E+00   0.00000E+00
  br85  35  50  85   0.00000E+00   0.00000E+00   0.00000E+00
  kr78  36  42  78   0.00000E+00   0.00000E+00   5.03599E-12
  kr79  36  43  79   0.00000E+00   0.00000E+00   0.00000E+00
  kr80  36  44  80   9.15924E-09   9.15924E-09   3.23583E-11
  kr81  36  45  81   4.03378E-09   0.00000E+00   0.00000E+00
  kr82  36  46  82   3.52683E-07   3.52683E-07   1.62139E-10
  kr83  36  47  83   6.27875E-08   6.27875E-08   1.60623E-10
  kr84  36  48  84   3.56021E-07   3.56021E-07   7.91611E-10
  kr85  36  49  85   0.00000E+00   0.00000E+00   0.00000E+00
  kr86  36  50  86   4.90727E-07   4.90727E-07   2.39390E-10
  kr87  36  51  87   0.00000E+00   0.00000E+00   0.00000E+00
  kr88  36  52  88   0.00000E+00   0.00000E+00   0.00000E+00
  kr89  36  53  89   0.00000E+00   0.00000E+00   0.00000E+00
  rb85  37  48  85   8.64289E-08   8.64289E-08   1.83518E-10
  rb86  37  49  86   0.00000E+00   0.00000E+00   0.00000E+00
  rb87  37  50  87   6.26722E-08   6.26722E-08   7.55274E-11
  rb88  37  51  88   0.00000E+00   0.00000E+00   0.00000E+00
  rb89  37  52  89   0.00000E+00   0.00000E+00   0.00000E+00
  rb90  37  53  90   0.00000E+00   0.00000E+00   0.00000E+00
  sr84  38  46  84   0.00000E+00   0.00000E+00   3.23602E-12
  sr85  38  47  85   0.00000E+00   0.00000E+00   0.00000E+00
  sr86  38  48  86   3.09033E-07   3.09033E-07   5.72264E-11
  sr87  38  49  87   1.98976E-07   1.98976E-07   3.99926E-11
  sr88  38  50  88   5.30018E-06   5.30018E-06   4.79476E-10
  sr89  38  51  89   0.00000E+00   0.00000E+00   0.00000E+00
