# t [s]      T [GK]       rho[g/cm^3]   r [km]      Ye           Le [erg/s]  Lebar [erg/s] Te [MeV]  Tebar [MeV]
# Nr: 81314
4.520000e-01 1.093061e+01 7.139037e+08 3.090552e+02 1.665724e-01 4.0863e+52  4.9491e+52  2.9545e+00  4.2932e+00
4.530000e-01 1.083086e+01 5.996711e+08 3.342843e+02 1.691323e-01 4.2699e+52  4.9126e+52  2.9780e+00  4.2599e+00
4.540000e-01 1.087867e+01 4.925897e+08 3.596685e+02 1.703275e-01 4.0891e+52  4.9300e+52  2.9503e+00  4.2396e+00
4.550000e-01 1.071033e+01 3.991231e+08 3.857245e+02 1.712726e-01 4.1199e+52  4.9593e+52  2.9004e+00  4.2485e+00
4.560000e-01 1.036520e+01 3.177351e+08 4.129726e+02 1.729817e-01 4.0943e+52  4.9686e+52  2.8782e+00  4.2136e+00
4.570000e-01 9.830646e+00 2.471475e+08 4.415649e+02 1.754060e-01 3.9112e+52  4.9543e+52  2.8446e+00  4.2128e+00
4.580000e-01 9.575713e+00 1.921655e+08 4.708971e+02 1.771812e-01 3.9673e+52  5.0696e+52  2.8697e+00  4.2356e+00
4.590000e-01 9.310654e+00 1.548848e+08 5.004350e+02 1.778188e-01 4.0658e+52  5.0768e+52  2.8913e+00  4.2539e+00
4.600000e-01 8.981605e+00 1.287898e+08 5.302487e+02 1.785077e-01 4.0205e+52  4.9669e+52  2.9100e+00  4.2526e+00
4.610000e-01 8.635723e+00 1.091601e+08 5.607047e+02 1.788518e-01 3.9461e+52  4.8831e+52  2.8995e+00  4.2568e+00
4.620000e-01 8.255915e+00 9.476300e+07 5.916742e+02 1.805923e-01 3.9655e+52  4.8804e+52  2.9042e+00  4.2631e+00
4.630000e-01 8.002450e+00 8.425159e+07 6.227880e+02 1.819220e-01 4.0314e+52  5.0383e+52  2.9236e+00  4.2535e+00
